kommune,segment,I alt,5-10 km,20-30 km,30-40 km,40-50 km,Over 50 km
København,I alt,446847,117233,24628,18750,9365,33282
Frederiksberg,I alt,44634,9673,2022,1313,794,2577
Dragør,I alt,3305,640,193,66,56,214
Tårnby,I alt,25958,5606,2164,1128,900,2566
Albertslund,I alt,21632,3741,1899,1091,924,2888
Ballerup,I alt,49307,7332,5967,1976,1527,5029
Brøndby,I alt,27612,6081,2495,1372,1008,3438
Gentofte,I alt,44392,12392,2925,1943,795,2461
Gladsaxe,I alt,47765,12526,3778,2242,1245,3865
Glostrup,I alt,20652,5004,1810,1076,681,2043
Herlev,I alt,24377,6367,2133,943,670,2096
Hvidovre,I alt,31512,6586,2226,1360,939,3636
Høje-Taastrup,I alt,40391,4386,8058,2507,1993,4912
Ishøj,I alt,10015,1561,1265,293,439,874
Lyngby-Taarbæk,I alt,38085,6917,3435,1829,676,2349
Rødovre,I alt,17931,4760,1076,602,401,1482
Vallensbæk,I alt,5784,1043,487,210,171,505
Allerød,I alt,15173,1533,3927,1584,206,1128
Egedal,I alt,12739,1529,2213,610,247,445
Fredensborg,I alt,14038,2116,1604,1738,344,521
Frederikssund,I alt,16737,2428,1887,1707,876,706
Furesø,I alt,15032,2085,2201,678,222,823
Gribskov,I alt,13365,2129,1310,508,573,986
Halsnæs,I alt,9824,1335,763,408,371,683
Helsingør,I alt,23972,3879,1723,1410,1707,1311
Hillerød,I alt,35271,3554,7770,5014,1032,1314
Hørsholm,I alt,10251,1018,1996,730,160,500
Rudersdal,I alt,28168,3747,5701,1630,629,1804
Bornholm,I alt,17429,2382,2292,482,3,910
Christiansø,I alt,38,0,0,2,0,1
Greve,I alt,19852,2876,3315,1093,836,2107
Køge,I alt,32186,4314,5028,3614,2652,2926
Lejre,I alt,8742,1051,1041,702,665,577
Roskilde,I alt,46184,4048,7446,6271,1972,4022
Solrød,I alt,6863,784,760,747,195,526
Faxe,I alt,14081,1817,2189,785,571,1786
Guldborgsund,I alt,24240,3100,2607,1203,664,2450
Holbæk,I alt,30373,3234,3664,2150,1510,3113
Kalundborg,I alt,21654,3547,2085,1820,1091,2411
Lolland,I alt,16511,1610,2155,1158,720,1548
Næstved,I alt,33054,4733,2902,1890,1006,3346
Odsherred,I alt,11995,1986,1346,644,282,1261
Ringsted,I alt,18423,1397,2773,2156,1078,2508
Slagelse,I alt,36405,3469,2671,2273,1133,5100
Sorø,I alt,12631,1219,1607,1298,532,1400
Stevns,I alt,6507,1087,489,264,293,567
Vordingborg,I alt,17371,1927,2019,1507,609,2022
Assens,I alt,15859,2052,2476,1114,529,736
Faaborg-Midtfyn,I alt,19434,2591,3705,1308,388,867
Kerteminde,I alt,10293,1724,1192,417,267,636
Langeland,I alt,4583,606,516,134,116,359
Middelfart,I alt,19463,2457,1911,1661,1655,2041
Nordfyns,I alt,10226,1492,1108,437,169,462
Nyborg,I alt,11618,1251,1544,1042,295,562
Odense,I alt,115516,25092,9497,4563,3733,9520
Svendborg,I alt,24626,4101,1742,1271,1802,1122
Ærø,I alt,2418,296,110,61,20,100
Billund,I alt,20978,1525,2765,2466,1418,3739
Esbjerg,I alt,63384,14938,5215,2729,1608,7380
Fanø,I alt,1170,140,31,19,7,62
Fredericia,I alt,30449,4485,3336,1345,1675,5485
Haderslev,I alt,23768,3358,2717,1523,781,2475
Kolding,I alt,56984,7773,7958,3672,1864,8481
Sønderborg,I alt,33856,5663,3821,1168,406,2015
Tønder,I alt,16618,1732,1918,1057,677,1316
Varde,I alt,22678,2413,3425,1249,609,1723
Vejen,I alt,21121,2599,2456,1830,1412,2163
Vejle,I alt,59906,8198,8056,3427,1747,7913
Aabenraa,I alt,30408,4489,4880,2890,1195,3141
Favrskov,I alt,20910,2104,3992,1604,750,1741
Hedensted,I alt,23020,2638,2591,1040,756,2387
Horsens,I alt,48657,7801,4581,2855,3154,4019
Norddjurs,I alt,15753,1726,1445,926,506,1462
Odder,I alt,8259,1251,1075,282,131,422
Randers,I alt,43518,7185,3407,3761,1697,2987
Samsø,I alt,1734,266,14,18,15,212
Silkeborg,I alt,44304,6743,3691,2984,3528,3505
Skanderborg,I alt,29865,3256,5366,2293,950,2559
Syddjurs,I alt,15162,1595,2106,1494,537,902
Aarhus,I alt,225052,42699,17110,12574,11330,23630
Herning,I alt,52558,7034,4622,5034,3089,6478
Holstebro,I alt,29715,3704,2625,2241,971,2574
Ikast-Brande,I alt,24509,1715,3857,1862,1709,3991
Lemvig,I alt,9155,1224,1132,535,176,647
Ringkøbing-Skjern,I alt,31290,2937,4310,1894,2095,3050
Skive,I alt,22148,3353,2048,1422,619,2189
Struer,I alt,8396,879,770,479,219,632
Viborg,I alt,52055,5911,6499,3685,2703,6327
Brønderslev,I alt,13697,1520,2693,1359,381,438
Frederikshavn,I alt,27447,2639,1876,1685,1252,3191
Hjørring,I alt,31279,2946,2693,2013,1707,2384
Jammerbugt,I alt,14551,1927,1737,1285,563,987
Læsø,I alt,783,119,1,14,18,69
Mariagerfjord,I alt,21742,2240,2918,1720,1481,2238
Morsø,I alt,9779,1484,927,729,142,578
Rebild,I alt,12637,1357,2536,820,517,990
Thisted,I alt,22203,3104,2549,1462,492,1697
Vesthimmerlands,I alt,18109,2408,2231,1007,1499,1591
Aalborg,I alt,121279,21612,12736,6412,3904,10968
