Afrejsende passagerer fra større, offentlige, betjente lufthavne efter
transporttype, tid, lufthavn og flyvning
"""by "",""Flyvninger i alt"",""Ruteflyvninger"",""Charter/taxi flyvning"",""Anden flyvning"""
"""København"",803,795,7,1"
"""Billund"",58,35,23,0"
"""Aarhus"",70,70,0,0"
"""Aalborg"",403,402,1,0"
"""Midtjyllands Lufthavn (tidligere Karup)"",6,6,0,0"
"""Esbjerg"",21,0,21,0"
"""Bornholm"",98,96,0,1"
"""Sønderborg"",24,24,0,0"
"""Roskilde"",7,0,3,4"
"""Thisted"",0,0,0,0"
"""Hans Christian Andersen Airport (Odense)"""
